feature,coefficient
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_5_1,-0.15087970227681294
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_5_3,-0.16616942040353191
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_6_0,-0.057907724627158375
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_6_2,-0.020623022340282387
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_7_1,0.0
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_7_3,0.04376954319334327
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_8_0,0.0819422794818915
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_8_2,0.1633097903446426
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_8_4,-0.04905389200997391
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_9_1,0.04519588087990449
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_9_3,0.055425289653838035
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_1_1,0.04348986771065898
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_2_0,-0.23583604015659312
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_3_1,0.23585355556649154
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_4_0,0.18497648344539394
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_5_1,0.06758510799676817
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_6_0,0.008347749547672787
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_6_2,0.13709004790877558
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_7_1,-0.08322253101869628
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_7_3,-0.13067947514939326
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_8_0,0.013142381577956051
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_8_2,-0.08515794473908982
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_8_4,0.19011965660578486
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_9_1,0.037019905135523556
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_9_3,0.053923849933142226
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_9_5,-0.1808209627598472
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_1_1,0.02774214139166597
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_2_0,0.16833226110569316
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_2_2,0.09832415401443152
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_3_1,0.1922676265687425
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_4_0,0.14033092593936905
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_4_2,-0.04199857387007238
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_5_1,0.09401715898244156
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_5_3,-0.034577910823456806
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_6_0,0.07308963847249662
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_6_2,0.1325034718510713
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_7_1,0.04629582767894898
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_7_3,0.013057118837803491
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_8_0,-0.17255089301962728
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_8_2,-0.2751856958278154
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_9_1,-0.05253497282895381
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_9_3,-0.0902161914864032
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_1_1,0.10797500361905794
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_2_0,0.5767568698852571
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_3_1,-0.14879343029008446
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_4_0,0.0494698667135457
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_4_2,-0.11660841595008573
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_5_1,0.0786529974832948
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_5_3,0.15099776972105736
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_6_0,0.02054423014523144
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_6_2,-0.1263568175886338
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_7_1,0.0012933893863943998
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_7_3,-0.03834112110048467
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_8_0,-0.05149952262830411
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_8_2,0.0005790189666910827
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_8_4,-0.023258957774751593
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_9_1,-0.25377698220979705
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_9_3,-0.07134785860492422
Cytoplasm_RadialDistribution_ZernikePhase_CY5_1_1,0.06647704668334324
Cytoplasm_RadialDistribution_ZernikePhase_CY5_3_1,0.021010882244948615
Cytoplasm_RadialDistribution_ZernikePhase_CY5_3_3,0.10831150780954524
Cytoplasm_RadialDistribution_ZernikePhase_CY5_4_2,-0.0006684954083473659
Cytoplasm_RadialDistribution_ZernikePhase_CY5_5_1,-0.014015523517530255
Cytoplasm_RadialDistribution_ZernikePhase_CY5_5_3,0.0006255460353480238
Cytoplasm_RadialDistribution_ZernikePhase_CY5_5_5,-0.014820402283290542
Cytoplasm_RadialDistribution_ZernikePhase_CY5_6_2,0.07855792261585243
Cytoplasm_RadialDistribution_ZernikePhase_CY5_6_4,-0.016306258658110907
Cytoplasm_RadialDistribution_ZernikePhase_CY5_7_1,0.007938787627372825
Cytoplasm_RadialDistribution_ZernikePhase_CY5_7_3,-0.03928673918461308
Cytoplasm_RadialDistribution_ZernikePhase_CY5_7_5,0.009831068961835056
Cytoplasm_RadialDistribution_ZernikePhase_CY5_8_2,-0.05122713397526261
Cytoplasm_RadialDistribution_ZernikePhase_CY5_8_4,-0.00197681482868334
Cytoplasm_RadialDistribution_ZernikePhase_CY5_8_8,-0.009968865120315909
Cytoplasm_RadialDistribution_ZernikePhase_CY5_9_1,0.0753733667429592
Cytoplasm_RadialDistribution_ZernikePhase_CY5_9_3,-0.028981936794357076
Cytoplasm_RadialDistribution_ZernikePhase_CY5_9_5,-0.044570925141252875
Cytoplasm_RadialDistribution_ZernikePhase_CY5_9_7,0.02852868295343749
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_1_1,0.036542438727189014
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_2_2,0.035808517015127994
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_3_1,0.01450209152048705
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_3_3,0.012919971468541808
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_4_2,-0.005052531328611304
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_4_4,0.04521619147095851
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_5_1,-0.008866989936600806
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_5_3,-0.01716199304406078
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_5_5,-0.0026711479916228307
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_6_2,-0.01573943823941885
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_6_4,-0.02662435555786494
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_6_6,-0.01606515059058825
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_7_1,-0.018683701697198147
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_7_3,-0.018790715830428364
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_7_5,-0.01966910055134914
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_7_7,0.06703227230253718
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_8_2,0.017931260734345103
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_8_4,-0.05324769134129459
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_8_6,0.012366794652069028
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_8_8,0.01763720726315866
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_9_1,0.004833415140408011
