feature,coefficient_orig_model,coefficient_new_model
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_9_5,-0.07000457560950374,-0.07905622229610407
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_8_6,0.12120724530458672,0.10230769406193557
Cytoplasm_RadialDistribution_MeanFrac_RFP_4of4,0.26440004871760164,0.017334883344716907
Cells_Correlation_Correlation_DAPI_GFP,1.8915486516923052,1.2567854002699737
Cytoplasm_Intensity_IntegratedIntensity_CY5,-0.05726867367072206,-0.22817093208575945
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_9_1,0.08198840272228415,0.037019905135523556
Nuclei_AreaShape_Zernike_2_0,-0.3616278213595118,-0.294931819898214
Nuclei_Correlation_RWC_GFP_RFP,0.19727369266193354,-0.001951690706609144
Cells_RadialDistribution_ZernikePhase_CY5_7_1,-0.020631589219338636,-0.06359914273846921
Nuclei_Granularity_1_DAPI,-0.5739978103086365,-0.15207979370647912
Cells_Intensity_IntegratedIntensityEdge_DAPI,0.9245057762327231,0.763670491995977
Cytoplasm_Correlation_Correlation_DAPI_RFP,-0.2832987199485044,-0.021844214039394176
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_1_1,0.1499323681864118,0.22497766884419423
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_8_0,-0.08704330720682871,-0.09445730665331864
Nuclei_RadialDistribution_ZernikePhase_GFP_6_6,0.008774076565697854,0.0539511019652235
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_8_4,-0.06231181840760446,-0.023258957774751593
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_8_4,-0.08113510024086122,-0.14840377567156166
Nuclei_Correlation_RWC_RFP_CY5,0.8017117460326545,0.39234091946631805
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_6_0,-0.042996374044783,-0.12576242123049686
Nuclei_Texture_InfoMeas2_RFP_3_03_256,0.3333811100380306,-0.029695740204209172
Cells_Intensity_MassDisplacement_RFP,0.01758215952340628,0.0040463516110523885
Nuclei_RadialDistribution_RadialCV_GFP_3of4,-0.14033298064178248,-0.2572526429616638
Cells_RadialDistribution_ZernikeMagnitude_RFP_6_2,0.16406944556953773,0.20336454079186178
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_7_5,0.016311226108880618,-0.07690187570185818
Cells_AreaShape_Zernike_5_1,0.006130478597030484,-0.0049091967492139055
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_8_0,0.07426930178582303,0.0819422794818915
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_8_2,0.2091137614114842,0.1633097903446426
Cytoplasm_RadialDistribution_ZernikePhase_CY5_5_5,-0.02211513541677508,-0.014820402283290542
Nuclei_AreaShape_Zernike_7_3,0.054056669601608175,0.07033159127597943
Cells_RadialDistribution_ZernikeMagnitude_CY5_9_3,-0.17711077129981195,-0.1728828617342278
Cytoplasm_Intensity_MassDisplacement_DAPI,-0.16410684364861688,-0.035798295892572066
Cells_RadialDistribution_ZernikePhase_DAPI_7_5,-0.0010035222682016432,0.013825957495534379
Nuclei_RadialDistribution_MeanFrac_CY5_3of4,1.4037670590400069,-0.06820561629730044
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_6_2,0.06085216397364682,0.11846684533277253
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_4_2,0.03260098845840874,-0.005052531328611304
Cells_AreaShape_Extent,-0.014119418326892298,0.0
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_7_3,-0.21410096607384657,-0.03834112110048467
Cytoplasm_RadialDistribution_MeanFrac_GFP_3of4,0.4212232877460353,0.31279993679191637
Nuclei_RadialDistribution_FracAtD_CY5_3of4,-1.5196392098852098,-0.12571516814858785
Nuclei_RadialDistribution_ZernikePhase_RFP_5_1,-0.02898227721225031,-0.006474672842610122
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_7_1,0.061499501175420586,-0.08322253101869628
Cytoplasm_RadialDistribution_MeanFrac_RFP_3of4,-0.03178703640518958,0.13775778620565646
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_3_1,0.1485015985508976,0.23585355556649154
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_3_3,0.0663200521932827,-0.012561314745019118
Cells_RadialDistribution_ZernikePhase_CY5_2_2,-0.008563028377882769,-0.04151775381752995
Cytoplasm_RadialDistribution_MeanFrac_GFP_4of4,0.3315630602224445,0.2141657325649649
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_8_0,0.005427624703783864,-0.05149952262830411
Nuclei_RadialDistribution_ZernikePhase_DAPI_9_5,-0.013658830583462414,0.0049687246482626795
Cytoplasm_Texture_Correlation_DAPI_3_02_256,-0.06289712427033492,0.004246971043713665
